Regulator,Target,RegulatorEnsembleID,TargetEnsembleID,diseaseCategory,DiseaseName2,RegulationDiretion,ExpressionPattern,RegulatorType,TargetType,Target_cleaned,Regulator_cleaned,Regulator_cleaned2,Target_cleaned2
FEZF1-AS1,PKM,ENSG00000230316,ENSG00000067225,Cancer,Colorectal cancer,positively-F,upregulation,lncRNA,PCG,PKM,FEZF1-AS1,FEZF1-AS1,PKM
DANCR,MMP9,ENSG00000226950,ENSG00000100985,Cancer,Retinoblastoma,positively-E,upregulation,lncRNA,PCG,MMP9,DANCR,DANCR,MMP9
HOTTIP,miR-216a-5p,ENSG00000243766,ENSG00000207798,Cancer,Prostate cancer,negatively-F,upregulation,lncRNA,miRNA,miR-216a-5p,HOTTIP,HOTTIP,miR-216a-5p
PEG10,miR-3200,ENSG00000242265,ENSG00000264661,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,miRNA,miR-3200,PEG10,PEG10,miR-3200
CCAT1,BMI1,,ENSG00000168283,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,BMI1,CCAT1,CCAT1,BMI1
GAS5,miR-301a,ENSG00000234741,ENSG00000207996,Cancer,Esophageal cancer,negatively-F,upregulation,lncRNA,miRNA,miR-301a,GAS5,GAS5,miR-301a
CCDC26,miR-203,ENSG00000229140,ENSG00000207568,Cancer,Brain glioma,negatively-F,upregulation,lncRNA,miRNA,miR-203,CCDC26,CCDC26,miR-203
CRNDE,CDKN1A,ENSG00000245694,ENSG00000124762,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1A,CRNDE,CRNDE,CDKN1A
LINC00858,CDK14,ENSG00000229404,ENSG00000058091,Cancer,Osteosarcoma,positively-E,upregulation,lncRNA,PCG,CDK14,LINC00858,LINC00858,CDK14
HOTAIR,ZEB1,ENSG00000228630,ENSG00000148516,Cancer,Liver cancer,positively-E,upregulation,lncRNA,TF,ZEB1,HOTAIR,HOTAIR,ZEB1
HAGLR,ZEB1,ENSG00000224189,ENSG00000148516,Cancer,Cervical cancer,positively-E,upregulation,lncRNA,TF,ZEB1,HAGLR,HAGLR,ZEB1
TDRG1,VEGFA,ENSG00000204091,ENSG00000112715,Cancer,Endometrial cancer,positively-F,upregulation,lncRNA,PCG,VEGFA,TDRG1,TDRG1,VEGFA
LIFR-AS1,TNFAIP3,ENSG00000244968,ENSG00000118503,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,TNFAIP3,LIFR-AS1,LIFR-AS1,TNFAIP3
THORLNC,YAP1,ENSG00000226856,ENSG00000137693,Cancer,Nasopharynx carcinoma,positively-E,upregulation,lncRNA,PCG,YAP1,THORLNC,THORLNC,YAP1
LINC00339,FOXM1,ENSG00000218510,ENSG00000111206,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,FOXM1,LINC00339,LINC00339,FOXM1
NNT-AS1,miR-129-5p,ENSG00000248092,,Cancer,Lung cancer,negatively-F,upregulation,lncRNA,miRNA,miR-129-5p,NNT-AS1,NNT-AS1,miR-129-5p
CBR3-AS1,TGFB1,ENSG00000236830,ENSG00000105329,Cancer,Breast cancer,positively-E,downregulation,lncRNA,PCG,TGFB1,CBR3-AS1,CBR3-AS1,TGFB1
CBR3-AS1,PHGDH,ENSG00000236830,ENSG00000092621,Cancer,Breast cancer,negatively-E,downregulation,lncRNA,PCG,PHGDH,CBR3-AS1,CBR3-AS1,PHGDH
HOTAIR,CDKN1A,ENSG00000228630,ENSG00000124762,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1A,HOTAIR,HOTAIR,CDKN1A
HOTAIR,RUNX3,ENSG00000228630,ENSG00000020633,Cancer,Gastric cancer,negatively-F,,lncRNA,TF,RUNX3,HOTAIR,HOTAIR,RUNX3
ZEB2-AS1,HMGB1,ENSG00000238057,ENSG00000189403,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,TF,HMGB1,ZEB2-AS1,ZEB2-AS1,HMGB1
FUNDC2P4,CDH1,ENSG00000227009,ENSG00000039068,Cancer,Liver cancer,positively-E,downregulation,lncRNA,PCG,CDH1,FUNDC2P4,FUNDC2P4,CDH1
SNHG12,ELAVL1,ENSG00000197989,ENSG00000066044,Cancer,Brain glioma,interact,upregulation,lncRNA,PCG,ELAVL1,SNHG12,SNHG12,ELAVL1
LNCRNA-ATB,YAP1,,ENSG00000137693,Cancer,Melanoma,positively-E,upregulation,lncRNA,PCG,YAP1,LNCRNA-ATB,LNCRNA-ATB,YAP1
CYTOR,NRP1,ENSG00000222041,ENSG00000099250,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,NRP1,CYTOR,CYTOR,NRP1
MALAT1,HMGB1,ENSG00000251562,ENSG00000189403,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,TF,HMGB1,MALAT1,MALAT1,HMGB1
NEAT1,STAT3,ENSG00000245532,ENSG00000168610,Cancer,Liver cancer,positively-E,upregulation,lncRNA,TF,STAT3,NEAT1,NEAT1,STAT3
MALAT1,STAT3,ENSG00000251562,ENSG00000168610,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,STAT3,MALAT1,MALAT1,STAT3
SNHG5,CASP1,ENSG00000203875,ENSG00000137752,Cancer,Lung cancer,positively-E,downregulation,lncRNA,PCG,CASP1,SNHG5,SNHG5,CASP1
FOXP4-AS1,LATS1,ENSG00000234753,ENSG00000131023,Cancer,Osteosarcoma,negatively-E,upregulation,lncRNA,PCG,LATS1,FOXP4-AS1,FOXP4-AS1,LATS1
TUG1,miR-29c,ENSG00000253352,ENSG00000284214,Cancer,Urinary bladder cancer,negatively-F,upregulation,lncRNA,miRNA,miR-29c,TUG1,TUG1,miR-29c
LNCRNA-ATB,miR-126,,ENSG00000199161,Cancer,Urinary bladder cancer,negatively-F,,lncRNA,miRNA,miR-126,LNCRNA-ATB,LNCRNA-ATB,miR-126
SP1,PANDAR,ENSG00000185591,ENSG00000281450,Cancer,Retinoblastoma,positively-E,upregulation,TF,lncRNA,PANDAR,SP1,SP1,PANDAR
STAT1,LINC00174,ENSG00000115415,ENSG00000179406,Cancer,Colorectal cancer,positively-E,upregulation,TF,lncRNA,LINC00174,STAT1,STAT1,LINC00174
LINC00174,TAZ,ENSG00000179406,ENSG00000102125,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,TAZ,LINC00174,LINC00174,TAZ
TP73-AS1,EZH2,ENSG00000227372,ENSG00000106462,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,EZH2,TP73-AS1,TP73-AS1,EZH2
GAS5,miR-196a-5p,ENSG00000234741,,Cancer,Breast cancer,negatively-F,downregulation,lncRNA,miRNA,miR-196a-5p,GAS5,GAS5,miR-196a-5p
MIR22HG,DAPK1,ENSG00000186594,ENSG00000196730,Cancer,Endometrial cancer,positively-E,downregulation,lncRNA,PCG,DAPK1,MIR22HG,MIR22HG,DAPK1
MEG3,miR-21,ENSG00000214548,ENSG00000284190,Cancer,Leukemia,negatively-E,downregulation,lncRNA,miRNA,miR-21,MEG3,MEG3,miR-21
MIAT,miR-133a,ENSG00000225783,ENSG00000284508,Cancer,Pancreatic cancer,negatively-F,upregulation,lncRNA,miRNA,miR-133a,MIAT,MIAT,miR-133a
SOX21-AS1,CDKN1A,ENSG00000227640,ENSG00000124762,Cancer,Liver cancer,negatively-E,upregulation,lncRNA,PCG,CDKN1A,SOX21-AS1,SOX21-AS1,CDKN1A
DICER1-AS1,ATG5,ENSG00000235706,ENSG00000057663,Cancer,Osteosarcoma,positively-E,upregulation,lncRNA,PCG,ATG5,DICER1-AS1,DICER1-AS1,ATG5
CASC15,miR-33a-5p,ENSG00000272168,ENSG00000207932,Cancer,Oral cavity cancer,negatively-E,upregulation,lncRNA,miRNA,miR-33a-5p,CASC15,CASC15,miR-33a-5p
FOXO1,RP11-838N2.4,ENSG00000150907,ENSG00000266835,Cancer,Lung cancer,negatively-E,upregulation,TF,lncRNA,RP11-838N2.4,FOXO1,FOXO1,RP11-838N2.4
FTX,PPARG,ENSG00000230590,ENSG00000132170,Cancer,Liver cancer,positively-E,upregulation,lncRNA,TF,PPARG,FTX,FTX,PPARG
MIR31HG,miR-31,ENSG00000171889,ENSG00000199177,Cancer,Larynx cancer,negatively-E,upregulation,lncRNA,miRNA,miR-31,MIR31HG,MIR31HG,miR-31
BTG3-AS1,miR-21,ENSG00000280594,ENSG00000284190,Cancer,Osteosarcoma,negatively-E,upregulation,lncRNA,miRNA,miR-21,BTG3-AS1,BTG3-AS1,miR-21
CASC2,miR-24-3p,ENSG00000177640,ENSG00000208024,Cancer,Liver cancer,negatively-E,downregulation,lncRNA,miRNA,miR-24-3p,CASC2,CASC2,miR-24-3p
TFAP4,TRERNA1,ENSG00000090447,ENSG00000231265,Cancer,Gastric cancer,positively-E,upregulation,TF,lncRNA,TRERNA1,TFAP4,TFAP4,TRERNA1
PVT1,TGFB1,ENSG00000249859,ENSG00000105329,Cancer,Pancreatic cancer,negatively-E,upregulation,lncRNA,PCG,TGFB1,PVT1,PVT1,TGFB1
PVT1,SMAD2,ENSG00000249859,ENSG00000175387,Cancer,Pancreatic cancer,negatively-E,upregulation,lncRNA,TF,SMAD2,PVT1,PVT1,SMAD2
PVT1,SMAD3,ENSG00000249859,ENSG00000166949,Cancer,Pancreatic cancer,negatively-E,upregulation,lncRNA,TF,SMAD3,PVT1,PVT1,SMAD3
PVT1,SMAD4,ENSG00000249859,ENSG00000141646,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,TF,SMAD4,PVT1,PVT1,SMAD4
OIP5-AS1,miR-378a-3p,ENSG00000247556,ENSG00000199047,Cancer,Lung cancer,negatively-F,upregulation,lncRNA,miRNA,miR-378a-3p,OIP5-AS1,OIP5-AS1,miR-378a-3p
XIST,WNT1,ENSG00000229807,ENSG00000125084,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,WNT1,XIST,XIST,WNT1
LSINCT5,MYCNOS-01,ENSG00000281560,ENST00000641263,Cancer,Urinary bladder cancer,interact,upregulation,lncRNA,lncRNA,MYCNOS-01,LSINCT5,LSINCT5,MYCNOS-01
PCSEAT,EZH2,ENSG00000286027,ENSG00000106462,Cancer,Prostate cancer,positively-E,upregulation,lncRNA,PCG,EZH2,PCSEAT,PCSEAT,EZH2
PVT1,ULK1,ENSG00000249859,ENSG00000177169,Cancer,Pancreatic cancer,positively-E,upregulation,lncRNA,PCG,ULK1,PVT1,PVT1,ULK1
MALAT1,miR-142-3p,ENSG00000251562,ENSG00000284353,Cancer,Cervical cancer,negatively-F,upregulation,lncRNA,miRNA,miR-142-3p,MALAT1,MALAT1,miR-142-3p
NEAT1,CDH1,ENSG00000245532,ENSG00000039068,Cancer,Cholangiocarcinoma,negatively-E,upregulation,lncRNA,PCG,CDH1,NEAT1,NEAT1,CDH1
KCNQ1OT1,EZR,ENSG00000269821,ENSG00000092820,Cancer,Oral cavity cancer,positively-E,upregulation,lncRNA,PCG,EZR,KCNQ1OT1,KCNQ1OT1,EZR
SNHG1,CDKN1A,ENSG00000255717,ENSG00000124762,Cancer,Cholangiocarcinoma,negatively-E,upregulation,lncRNA,PCG,CDKN1A,SNHG1,SNHG1,CDKN1A
linc-UFC1,LIN28B,,ENSG00000187772,Cancer,Gastric cancer,negatively-E,upregulation,lncRNA,TF,LIN28B,linc-UFC1,linc-UFC1,LIN28B
SNHG7,GALNT7,ENSG00000233016,ENSG00000109586,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,GALNT7,SNHG7,SNHG7,GALNT7
UCA1,ABCB1,ENSG00000214049,ENSG00000085563,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,ABCB1,UCA1,UCA1,ABCB1
FENDRR,RUNX1,ENSG00000268388,ENSG00000159216,Cancer,Prostate cancer,positively-E,downregulation,lncRNA,TF,RUNX1,FENDRR,FENDRR,RUNX1
FEZF1-AS1,AKT3,ENSG00000230316,ENSG00000117020,Cancer,Myeloma,positively-E,upregulation,lncRNA,PCG,AKT3,FEZF1-AS1,FEZF1-AS1,AKT3
NEAT1,IGF2,ENSG00000245532,ENSG00000167244,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,IGF2,NEAT1,NEAT1,IGF2
BCYRN1,miR-138,ENSG00000236824,,Cancer,Cervical cancer,negatively-F,upregulation,lncRNA,miRNA,miR-138,BCYRN1,BCYRN1,miR-138
BCAR4,MTOR,ENSG00000262117,ENSG00000198793,Cancer,Chondrosarcoma,positively-E,upregulation,lncRNA,PCG,MTOR,BCAR4,BCAR4,MTOR
BCAR4,VIM,ENSG00000262117,ENSG00000026025,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,PCG,VIM,BCAR4,BCAR4,VIM
BCAR4,CDH2,ENSG00000262117,ENSG00000170558,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,CDH2,BCAR4,BCAR4,CDH2
BCAR4,CDH1,ENSG00000262117,ENSG00000039068,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,CDH1,BCAR4,BCAR4,CDH1
BLACAT1,ABCB1,ENSG00000281406,ENSG00000085563,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,ABCB1,BLACAT1,BLACAT1,ABCB1
TUG1,MKI67,ENSG00000253352,ENSG00000148773,Cancer,Lung cancer,negatively-E,upregulation,lncRNA,PCG,MKI67,TUG1,TUG1,MKI67
TUG1,HOXB7,ENSG00000253352,ENSG00000260027,Cancer,Lung cancer,negatively-E,downregulation,lncRNA,TF,HOXB7,TUG1,TUG1,HOXB7
TUG1,EZH2,ENSG00000253352,ENSG00000106462,Cancer,Lung cancer,interact,downregulation,lncRNA,PCG,EZH2,TUG1,TUG1,EZH2
TP53,TUG1,ENSG00000141510,ENSG00000253352,Cancer,Lung cancer,positively-E,downregulation,TF,lncRNA,TUG1,TP53,TP53,TUG1
CASC15,SOX4,ENSG00000272168,ENSG00000124766,Cancer,Leukemia,positively-E,upregulation,lncRNA,TF,SOX4,CASC15,CASC15,SOX4
CASC2,PLXNC1,ENSG00000177640,ENSG00000136040,Cancer,Melanoma,positively-E,downregulation,lncRNA,PCG,PLXNC1,CASC2,CASC2,PLXNC1
miR-21,CASC2,ENSG00000284190,ENSG00000177640,Cancer,Kidney cancer,negatively-F,upregulation,miRNA,lncRNA,CASC2,miR-21,miR-21,CASC2
CASC2,miR-181a,ENSG00000177640,ENSG00000207759,Cancer,Osteosarcoma,negatively-E,downregulation,lncRNA,miRNA,miR-181a,CASC2,CASC2,miR-181a
CASC2,RASSF6,ENSG00000177640,ENSG00000169435,Cancer,Osteosarcoma,positively-E,downregulation,lncRNA,PCG,RASSF6,CASC2,CASC2,RASSF6
CASC2,PIAS3,ENSG00000177640,ENSG00000131788,Cancer,Colorectal cancer,positively-E,downregulation,lncRNA,TF,PIAS3,CASC2,CASC2,PIAS3
CASC2,STAT3,ENSG00000177640,ENSG00000168610,Cancer,Colorectal cancer,positively-E,downregulation,lncRNA,TF,STAT3,CASC2,CASC2,STAT3
CASC2,FBXW7,ENSG00000177640,ENSG00000109670,Cancer,Liver cancer,positively-E,downregulation,lncRNA,PCG,FBXW7,CASC2,CASC2,FBXW7
CASC2,miR-362-5p,ENSG00000177640,ENSG00000208015,Cancer,Liver cancer,negatively-F,downregulation,lncRNA,miRNA,miR-362-5p,CASC2,CASC2,miR-362-5p
CASC2,EIF4A3,ENSG00000177640,ENSG00000141543,Cancer,Ovarian cancer,negatively-F,downregulation,lncRNA,PCG,EIF4A3,CASC2,CASC2,EIF4A3
CASC7,ING3,ENSG00000259758,ENSG00000071243,Cancer,Colorectal cancer,positively-E,downregulation,lncRNA,PCG,ING3,CASC7,CASC7,ING3
CASC8,FGFR1,ENSG00000246228,ENSG00000077782,Cancer,Urinary bladder cancer,interact,downregulation,lncRNA,PCG,FGFR1,CASC8,CASC8,FGFR1
CASC9,PDCD4,ENSG00000249395,ENSG00000150593,Cancer,Esophageal cancer,negatively-E,upregulation,lncRNA,PCG,PDCD4,CASC9,CASC9,PDCD4
CASC9,EZH2,ENSG00000249395,ENSG00000106462,Cancer,Esophageal cancer,interact,upregulation,lncRNA,PCG,EZH2,CASC9,CASC9,EZH2
CASC9,ABCB1,ENSG00000249395,ENSG00000085563,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,PCG,ABCB1,CASC9,CASC9,ABCB1
CAT104,ZEB1,,ENSG00000148516,Cancer,Gastric cancer,positively-E,upregulation,lncRNA,TF,ZEB1,CAT104,CAT104,ZEB1
CCAT1,miR-33a,,ENSG00000207932,Cancer,Melanoma,negatively-F,upregulation,lncRNA,miRNA,miR-33a,CCAT1,CCAT1,miR-33a
CCAT1,BIRC7,,ENSG00000101197,Cancer,Kidney cancer,positively-F,upregulation,lncRNA,PCG,BIRC7,CCAT1,CCAT1,BIRC7
CCAT1,CPEB2,,ENSG00000137449,Cancer,Nasopharynx carcinoma,positively-E,upregulation,lncRNA,PCG,CPEB2,CCAT1,CCAT1,CPEB2
CCAT1,BCL2L1,,ENSG00000171552,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,BCL2L1,CCAT1,CCAT1,BCL2L1
CCAT1,ZFX,,ENSG00000005889,Cancer,Larynx cancer,positively-E,upregulation,lncRNA,TF,ZFX,CCAT1,CCAT1,ZFX
CCAT1,ADAM17,,ENSG00000151694,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,ADAM17,CCAT1,CCAT1,ADAM17
CCAT1,WNT1,,ENSG00000125084,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,PCG,WNT1,CCAT1,CCAT1,WNT1
CCAT1,STAT3,,ENSG00000168610,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,TF,STAT3,CCAT1,CCAT1,STAT3
CCAT1,ZEB1,,ENSG00000148516,Cancer,Ovarian cancer,positively-E,upregulation,lncRNA,TF,ZEB1,CCAT1,CCAT1,ZEB1
CCAT1,CDK1,,ENSG00000170312,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,CDK1,CCAT1,CCAT1,CDK1
CCAT2,miR-145,ENSG00000280997,ENSG00000276365,Cancer,Colorectal cancer,negatively-E,upregulation,lncRNA,miRNA,miR-145,CCAT2,CCAT2,miR-145
CCAT2,miR-424,ENSG00000280997,ENSG00000284231,Cancer,Ovarian cancer,negatively-F,upregulation,lncRNA,miRNA,miR-424,CCAT2,CCAT2,miR-424
LINC00460,FOXA1,ENSG00000233532,ENSG00000129514,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,FOXA1,LINC00460,LINC00460,FOXA1
THORLNC,CTNNB1,ENSG00000226856,ENSG00000168036,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,CTNNB1,THORLNC,THORLNC,CTNNB1
LINC00319,KLF12,ENSG00000188660,ENSG00000118922,Cancer,Nasopharynx carcinoma,positively-E,upregulation,lncRNA,TF,KLF12,LINC00319,LINC00319,KLF12
H19,miR-143,ENSG00000130600,ENSG00000284182,Cancer,Retinoblastoma,negatively-E,upregulation,lncRNA,miRNA,miR-143,H19,H19,miR-143
H19,RUNX2,ENSG00000130600,ENSG00000124813,Cancer,Retinoblastoma,positively-E,upregulation,lncRNA,TF,RUNX2,H19,H19,RUNX2
HULC,RTKN,ENSG00000285219,ENSG00000114993,Cancer,Colorectal cancer,positively-E,upregulation,lncRNA,PCG,RTKN,HULC,HULC,RTKN
HOXA-AS2,HOXA3,ENSG00000253552,ENSG00000105997,Cancer,Leukemia,positively-E,upregulation,lncRNA,TF,HOXA3,HOXA-AS2,HOXA-AS2,HOXA3
MIAT,EPHA2,ENSG00000225783,ENSG00000142627,Cancer,Liver cancer,positively-E,upregulation,lncRNA,PCG,EPHA2,MIAT,MIAT,EPHA2
LINC01510,CDK14,ENSG00000231210,ENSG00000058091,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,CDK14,LINC01510,LINC01510,CDK14
SNHG16,MUC5AC,ENSG00000163597,ENSG00000215182,Cancer,Lung cancer,positively-E,upregulation,lncRNA,PCG,MUC5AC,SNHG16,SNHG16,MUC5AC
EGFR-AS1,miR-223,ENSG00000224057,ENSG00000284567,Cancer,Lung cancer,negatively-F,upregulation,lncRNA,miRNA,miR-223,EGFR-AS1,EGFR-AS1,miR-223
SNHG16,miR-124-3p,ENSG00000163597,,Cancer,Leukemia,negatively-E,upregulation,lncRNA,miRNA,miR-124-3p,SNHG16,SNHG16,miR-124-3p
DGCR5,CTNNB1,ENSG00000237517,ENSG00000168036,Cancer,Liver cancer,negatively-E,downregulation,lncRNA,PCG,CTNNB1,DGCR5,DGCR5,CTNNB1
DGCR5,CCND1,ENSG00000237517,ENSG00000110092,Cancer,Liver cancer,negatively-E,downregulation,lncRNA,PCG,CCND1,DGCR5,DGCR5,CCND1
DGCR5,GSK3B,ENSG00000237517,ENSG00000082701,Cancer,Liver cancer,positively-E,downregulation,lncRNA,PCG,GSK3B,DGCR5,DGCR5,GSK3B
HIF1A-AS2,TP53,,ENSG00000141510,Cancer,Urinary bladder cancer,negatively-E,upregulation,lncRNA,TF,TP53,HIF1A-AS2,HIF1A-AS2,TP53
SNHG6,SNAI1,ENSG00000245910,ENSG00000124216,Cancer,Urinary bladder cancer,interact,upregulation,lncRNA,TF,SNAI1,SNHG6,SNHG6,SNAI1
SNHG6,SNAI2,ENSG00000245910,ENSG00000019549,Cancer,Urinary bladder cancer,interact,upregulation,lncRNA,TF,SNAI2,SNHG6,SNHG6,SNAI2
SNHG6,NUAK1,ENSG00000245910,ENSG00000074590,Cancer,Urinary bladder cancer,positively-E,upregulation,lncRNA,PCG,NUAK1,SNHG6,SNHG6,NUAK1
LOC728196,TCF7,ENST00000651138,ENSG00000081059,Cancer,Brain glioma,positively-E,upregulation,lncRNA,TF,TCF7,LOC728196,LOC728196,TCF7
LINC00052,SOX9,ENSG00000259527,ENSG00000125398,Cancer,Liver cancer,negatively-E,downregulation,lncRNA,TF,SOX9,LINC00052,LINC00052,SOX9
MEG3,NFKB1,ENSG00000214548,ENSG00000109320,Cancer,Breast cancer,positively-E,downregulation,lncRNA,TF,NFKB1,MEG3,MEG3,NFKB1
MEG3,TP53,ENSG00000214548,ENSG00000141510,Cancer,Breast cancer,positively-E,downregulation,lncRNA,TF,TP53,MEG3,MEG3,TP53
BABAM2-AS1,NR4A3,,ENSG00000119508,Cancer,Lung cancer,positively-E,downregulation,lncRNA,TF,NR4A3,BABAM2-AS1,BABAM2-AS1,NR4A3
ZFHX4-AS1,FAT4,ENSG00000253661,ENSG00000196159,Cancer,Breast cancer,negatively-E,upregulation,lncRNA,PCG,FAT4,ZFHX4-AS1,ZFHX4-AS1,FAT4
MEG3,miR-494,ENSG00000214548,ENSG00000194717,Cancer,Hemangioma,negatively-F,downregulation,lncRNA,miRNA,miR-494,MEG3,MEG3,miR-494
HOTTIP,TGFBR1,ENSG00000243766,ENSG00000106799,Gastrointestinal system disease,Fibrosis,positively-E,upregulation,lncRNA,PCG,TGFBR1,HOTTIP,HOTTIP,TGFBR1
HOTTIP,TGFBR2,ENSG00000243766,ENSG00000163513,Gastrointestinal system disease,Fibrosis,positively-E,upregulation,lncRNA,PCG,TGFBR2,HOTTIP,HOTTIP,TGFBR2
DGCR5,miR-195,ENSG00000237517,ENSG00000284112,Cancer,Larynx cancer,negatively-F,upregulation,lncRNA,miRNA,miR-195,DGCR5,DGCR5,miR-195
WDR86-AS1,LITAF,ENSG00000243836,ENSG00000189067,Cardiovascular system disease,Eclampsia,positively-E,upregulation,lncRNA,TF,LITAF,WDR86-AS1,WDR86-AS1,LITAF
CDKN2B-AS1,ATM,ENSG00000240498,ENSG00000149311,Cancer,Retinoblastoma,negatively-E,upregulation,lncRNA,PCG,ATM,CDKN2B-AS1,CDKN2B-AS1,ATM
CDKN2B-AS1,E2F1,ENSG00000240498,ENSG00000101412,Cancer,Retinoblastoma,negatively-E,upregulation,lncRNA,TF,E2F1,CDKN2B-AS1,CDKN2B-AS1,E2F1
OIP5-AS1,AGPAT2,ENSG00000247556,ENSG00000169692,Cancer,Retinoblastoma,positively-E,upregulation,lncRNA,PCG,AGPAT2,OIP5-AS1,OIP5-AS1,AGPAT2
NORAD,miR-202-5p,ENSG00000260032,ENSG00000284219,Cancer,Liver cancer,negatively-F,upregulation,lncRNA,miRNA,miR-202-5p,NORAD,NORAD,miR-202-5p
GACAT3,NAMPT,ENSG00000236289,ENSG00000105835,Cancer,Brain glioma,positively-E,upregulation,lncRNA,PCG,NAMPT,GACAT3,GACAT3,NAMPT
GClnc1,CDKN1A,ENSG00000291237,ENSG00000124762,Cancer,Osteosarcoma,negatively-E,upregulation,lncRNA,PCG,CDKN1A,GClnc1,GClnc1,CDKN1A
GClnc1,TP53,ENSG00000291237,ENSG00000141510,Cancer,Retinoblastoma,interact,upregulation,lncRNA,TF,TP53,GClnc1,GClnc1,TP53
ZEB1-AS1,ZEB1,ENSG00000237036,ENSG00000148516,Cancer,Lung cancer,positively-E,upregulation,lncRNA,TF,ZEB1,ZEB1-AS1,ZEB1-AS1,ZEB1
PVT1,ANGPTL4,ENSG00000249859,ENSG00000167772,Cancer,Cholangiocarcinoma,negatively-E,upregulation,lncRNA,PCG,ANGPTL4,PVT1,PVT1,ANGPTL4
WSPAR,TIMMDC1,ENSG00000249073,ENSG00000113845,Respiratory system disease,Asthma,positively-E,upregulation,lncRNA,PCG,TIMMDC1,WSPAR,WSPAR,TIMMDC1
